id,mitigated,mitigated_by,tags,request_response,accepted_risks,push_to_jira,found_by,age,sla_days_remaining,finding_meta,related_fields,jira_creation,jira_change,display_status,finding_groups,vulnerability_ids,reporter,endpoints,created,updated,title,date,sla_start_date,sla_expiration_date,cwe,epss_score,epss_percentile,known_exploited,ransomware_used,kev_date,cvssv3,cvssv3_score,cvssv4,cvssv4_score,url,severity,description,mitigation,fix_available,fix_version,impact,steps_to_reproduce,severity_justification,references,active,verified,false_p,duplicate,out_of_scope,risk_accepted,under_review,last_status_update,under_defect_review,is_mitigated,thread_id,numerical_severity,last_reviewed,param,payload,hash_code,line,file_path,component_name,component_version,static_finding,dynamic_finding,scanner_confidence,unique_id_from_tool,vuln_id_from_tool,sast_source_object,sast_sink_object,sast_source_line,sast_source_file_path,nb_occurences,publish_date,service,planned_remediation_date,planned_remediation_version,effort_for_fixing,test,duplicate_finding,review_requested_by,defect_review_requested_by,last_reviewed_by,sonarqube_issue,reviewers,notes,files,product_id,engagement_id,product_name
4,2026-02-12T15:11:42.912718Z,1.0,[],{'req_resp': []},[],False,[29],1,89.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-11T13:25:58.970056Z,2026-02-12T15:11:43.375811Z,No-Console-Log,2026-02-11,,2026-05-12,0,,,False,False,,,,,,,Medium,"**Result message:** Évitez console.log en production
",,,,,,,,False,False,False,False,False,False,False,2026-02-12T15:11:43.375640Z,False,True,0,S2,2026-02-11T13:25:58.890461Z,,,69a4db372bab3e874f8e7f38fbf7c6a925474c91e62bde2ca1ca52180023645e,15.0,src\app.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,1,,,,1,,[],"[{'id': 1, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/3\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-12T15:11:43.339390Z', 'private': False, 'edited': False, 'edit_time': '2026-02-12T15:11:43.339446Z'}]",[],4,2,Invisi
6,2026-02-12T15:11:42.912718Z,1.0,[],{'req_resp': []},[],False,[29],1,89.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-11T17:09:29.008832Z,2026-02-12T15:11:43.398840Z,No-Console-Log,2026-02-11,,2026-05-12,0,,,False,False,,,,,,,Medium,"**Result message:** Évitez console.log en production
",,,,,,,,False,False,False,False,False,False,False,2026-02-12T15:11:43.398721Z,False,True,0,S2,2026-02-11T17:09:28.946743Z,,,c993c376fb5973669d00c8bf4e5d6aa0c768e44571f5c7d7cc5d26ff434c6093,8.0,server.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,2,,,,1,,[],"[{'id': 2, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/3\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-12T15:11:43.383200Z', 'private': False, 'edited': False, 'edit_time': '2026-02-12T15:11:43.383230Z'}]",[],4,2,Invisi
7,2026-02-12T15:11:42.912718Z,1.0,[],{'req_resp': []},[],False,[29],1,89.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-11T17:09:29.044645Z,2026-02-12T15:11:43.417312Z,No-Console-Log,2026-02-11,,2026-05-12,0,,,False,False,,,,,,,Medium,"**Result message:** Évitez console.log en production
",,,,,,,,False,False,False,False,False,False,False,2026-02-12T15:11:43.417190Z,False,True,0,S2,2026-02-11T17:09:28.946743Z,,,60a97c0eb33a67500642220e6d9d260df4c54fb1641e41104356f586a2af3609,20.0,server.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,2,,,,1,,[],"[{'id': 3, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/3\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-12T15:11:43.404008Z', 'private': False, 'edited': False, 'edit_time': '2026-02-12T15:11:43.404030Z'}]",[],4,2,Invisi
8,2026-02-12T15:11:42.912718Z,1.0,[],{'req_resp': []},[],False,[29],1,89.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-11T17:09:29.054272Z,2026-02-12T15:11:43.434861Z,No-Console-Log,2026-02-11,,2026-05-12,0,,,False,False,,,,,,,Medium,"**Result message:** Évitez console.log en production
",,,,,,,,False,False,False,False,False,False,False,2026-02-12T15:11:43.434746Z,False,True,0,S2,2026-02-11T17:09:28.946743Z,,,8a140e9ae4cb3fc3d0be1faa4c77352392570a1e25e774843aba1d8663b64d44,22.0,server.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,2,,,,1,,[],"[{'id': 4, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/3\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-12T15:11:43.422183Z', 'private': False, 'edited': False, 'edit_time': '2026-02-12T15:11:43.422217Z'}]",[],4,2,Invisi
9,2026-02-12T15:11:42.912718Z,1.0,[],{'req_resp': []},[],False,[29],1,89.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-11T17:09:29.059568Z,2026-02-12T15:11:43.459375Z,No-Console-Log,2026-02-11,,2026-05-12,0,,,False,False,,,,,,,Medium,"**Result message:** Évitez console.log en production
",,,,,,,,False,False,False,False,False,False,False,2026-02-12T15:11:43.459000Z,False,True,0,S2,2026-02-11T17:09:28.946743Z,,,69a4db372bab3e874f8e7f38fbf7c6a925474c91e62bde2ca1ca52180023645e,15.0,src\app.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,2,,,,1,,[],"[{'id': 5, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/3\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-12T15:11:43.440156Z', 'private': False, 'edited': False, 'edit_time': '2026-02-12T15:11:43.440184Z'}]",[],4,2,Invisi
10,2026-02-12T15:11:42.912718Z,1.0,[],{'req_resp': []},[],False,[29],1,89.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-11T17:09:29.065659Z,2026-02-12T15:11:43.485449Z,No-Console-Log,2026-02-11,,2026-05-12,0,,,False,False,,,,,,,Medium,"**Result message:** Évitez console.log en production
",,,,,,,,False,False,False,False,False,False,False,2026-02-12T15:11:43.485325Z,False,True,0,S2,2026-02-11T17:09:28.946743Z,,,45179aad5a7637510ab2b5ac3a0a91187c691793c43260ba005deae077443c7e,4.0,src\utils\logger.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,2,,,,1,,[],"[{'id': 6, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/3\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-12T15:11:43.469693Z', 'private': False, 'edited': False, 'edit_time': '2026-02-12T15:11:43.469727Z'}]",[],4,2,Invisi
54,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.322271Z,2026-02-21T16:03:48.235456Z,No-Console-Log,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** Evitez console.log en production. Utilisez logger.info()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.235371Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,d7a72a14fb41615e8fb9bda6110c264b2fd52ac9b54b639eadeb004677cb0621,8.0,server.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 7, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.208748Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.208784Z'}]",[],4,2,Invisi
55,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.925985Z,2026-02-21T16:03:48.251612Z,No-Console-Log,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** Evitez console.log en production. Utilisez logger.info()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.251533Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,152225601dd55454112b8d8c07be7c41b8ce89e7ccd28e778836f9a10c92e95b,20.0,server.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 8, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.241909Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.241957Z'}]",[],4,2,Invisi
56,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.931944Z,2026-02-21T16:03:48.265152Z,No-Console-Log,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** Evitez console.log en production. Utilisez logger.info()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.265078Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,c9234e7388692eddf85ad16d04760418a4e2bd2bb8bde701351402bf803b4f0d,22.0,server.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 9, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.256403Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.256427Z'}]",[],4,2,Invisi
57,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.937463Z,2026-02-21T16:03:48.276459Z,No-Console-Log,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** Evitez console.log en production. Utilisez logger.info()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.276387Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,790c22f1bb497910c6884920ffefb57d0c48ef92ce00180fedf8417f770bb268,15.0,src/app.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 10, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.268446Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.268466Z'}]",[],4,2,Invisi
