,Info,Low,Medium,High,Critical
cvss_score,0.010061,0.031345,0.108327,0.113948,0.022039
cvss_score_norm,0.010318,0.028561,0.106106,0.113167,0.019656
age_days,0.010265,0.007533,0.007764,0.01312,0.000583
age_days_norm,0.008924,0.007836,0.006216,0.011211,0.000355
has_cve,0.0,0.0,0.0,0.0,0.0
has_cwe,0.0,0.0,0.0,0.0,0.0
tags_count,0.006873,0.011217,0.018962,0.023137,0.006245
tags_count_norm,0.005785,0.011636,0.017823,0.023388,0.007393
tag_urgent,0.0,0.0,0.0,0.0,0.0
tag_in_production,0.0,0.0,0.0,0.0,0.0
tag_sensitive,0.0,0.0,0.0,0.0,0.0
tag_external,0.0,0.0,0.0,0.0,0.0
product_fp_rate,0.0,0.0,0.0,0.0,0.0
cvss_x_has_cve,0.0,0.0,0.0,0.0,0.0
age_x_cvss,0.009038,0.02713,0.0544,0.046317,0.011805
epss_score,0.001641,0.004242,0.01624,0.014999,0.006143
epss_percentile,0.00159,0.004658,0.015408,0.015289,0.005289
has_high_epss,4e-06,1e-05,0.000236,0.000453,0.000703
epss_x_cvss,0.00184,0.002461,0.018299,0.015482,0.007192
epss_score_norm,0.001725,0.00613,0.014141,0.013594,0.006072
