id,title,product_id,engagement_id,severity_num,cvss_score,age_days,has_cve,has_cwe,tags_count,is_false_positive,is_active,tag_urgent,tag_in_production,tag_sensitive,tag_external,severity_x_active,product_fp_rate,cvss_severity_gap,cvss_x_severity,cvss_x_has_cve,severity_x_urgent,age_x_cvss,cvss_score_norm,severity_norm,age_days_norm,tags_count_norm,cvss_severity_gap_norm,composite_risk,risk_score,risk_class,days_to_fix
4,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
6,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
7,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
8,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
9,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
10,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
54,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
55,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
56,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
57,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
58,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
59,Path-Traversal,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
60,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
61,XSS-Reflected-Basic,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
62,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
63,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
64,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
65,XSS-Reflected-Basic,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
66,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
67,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
68,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
69,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
70,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
71,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
72,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
73,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
74,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
75,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
76,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
77,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
78,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,1,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
79,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
80,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
81,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
82,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
83,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
84,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
85,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
86,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
87,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
88,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
89,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
90,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
91,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
92,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
93,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
94,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
